"Photon energy (eV)"    "Reflectivity"
           0.751212  3.972104e-01
           0.752209  3.969398e-01
           0.753206  3.966736e-01
           0.754204  3.964140e-01
           0.755201  3.961592e-01
           0.756198  3.958400e-01
           0.757196  3.955380e-01
           0.758193  3.952464e-01
           0.759190  3.949719e-01
           0.760188  3.947265e-01
           0.761185  3.945223e-01
           0.762182  3.943369e-01
           0.763179  3.942023e-01
           0.764177  3.941188e-01
           0.765174  3.940420e-01
           0.766171  3.939700e-01
           0.767169  3.939008e-01
           0.768166  3.938326e-01
           0.769163  3.937635e-01
           0.770161  3.936915e-01
           0.771158  3.936728e-01
           0.772155  3.936611e-01
           0.773153  3.936446e-01
           0.774150  3.936238e-01
           0.775147  3.935990e-01
           0.776144  3.935704e-01
           0.777142  3.935383e-01
           0.778139  3.935058e-01
           0.779136  3.934930e-01
           0.780134  3.934776e-01
           0.781131  3.934595e-01
           0.782128  3.934389e-01
           0.783126  3.934159e-01
           0.784123  3.933904e-01
           0.785120  3.933625e-01
           0.786117  3.933355e-01
           0.787115  3.933135e-01
           0.788112  3.932895e-01
           0.789109  3.932636e-01
           0.790107  3.932360e-01
           0.791104  3.932065e-01
           0.792101  3.931753e-01
           0.793099  3.931425e-01
           0.794096  3.931109e-01
           0.795093  3.930816e-01
           0.796090  3.930507e-01
           0.797088  3.930185e-01
           0.798085  3.929849e-01
           0.799082  3.929499e-01
           0.800080  3.929136e-01
           0.801077  3.928762e-01
           0.802074  3.928393e-01
           0.803072  3.928035e-01
           0.804069  3.927666e-01
           0.805066  3.927285e-01
           0.806064  3.926894e-01
           0.807061  3.926492e-01
           0.808058  3.926080e-01
           0.809055  3.925658e-01
           0.810053  3.925239e-01
           0.811050  3.924825e-01
           0.812047  3.924403e-01
           0.813045  3.923971e-01
           0.814042  3.923531e-01
           0.815039  3.923083e-01
           0.816037  3.922626e-01
           0.817034  3.922161e-01
           0.818031  3.921696e-01
           0.819028  3.921243e-01
           0.820026  3.920782e-01
           0.821023  3.920314e-01
           0.822020  3.919839e-01
           0.823018  3.919356e-01
           0.824015  3.918867e-01
           0.825012  3.918371e-01
           0.826010  3.917870e-01
           0.827007  3.917374e-01
           0.828004  3.916872e-01
           0.829001  3.916363e-01
           0.829999  3.915849e-01
           0.830996  3.915328e-01
           0.831993  3.914802e-01
           0.832991  3.914270e-01
           0.833988  3.913732e-01
           0.834985  3.913200e-01
           0.835983  3.912664e-01
           0.836980  3.912124e-01
           0.837977  3.911578e-01
           0.838975  3.911027e-01
           0.839972  3.910470e-01
           0.840969  3.909909e-01
           0.841966  3.909342e-01
           0.842964  3.908783e-01
           0.843961  3.908235e-01
           0.844958  3.907681e-01
           0.845956  3.907123e-01
           0.846953  3.906560e-01
           0.847950  3.905993e-01
           0.848948  3.905420e-01
           0.849945  3.904844e-01
           0.850942  3.904262e-01
           0.851939  3.903677e-01
           0.852937  3.903087e-01
           0.853934  3.902493e-01
           0.854931  3.901895e-01
           0.855929  3.901293e-01
           0.856926  3.900686e-01
           0.857923  3.900075e-01
           0.858921  3.899460e-01
           0.859918  3.898855e-01
           0.860915  3.898261e-01
           0.861912  3.897662e-01
           0.862910  3.897060e-01
           0.863907  3.896454e-01
           0.864904  3.895845e-01
           0.865902  3.895231e-01
           0.866899  3.894614e-01
           0.867896  3.893994e-01
           0.868894  3.893370e-01
           0.869891  3.892743e-01
           0.870888  3.892112e-01
           0.871886  3.891478e-01
           0.872883  3.890841e-01
           0.873880  3.890200e-01
           0.874877  3.889556e-01
           0.875875  3.888909e-01
           0.876872  3.888263e-01
           0.877869  3.887639e-01
           0.878867  3.887010e-01
           0.879864  3.886379e-01
           0.880861  3.885745e-01
           0.881859  3.885108e-01
           0.882856  3.884468e-01
           0.883853  3.883825e-01
           0.884850  3.883180e-01
           0.885848  3.882532e-01
           0.886845  3.881881e-01
           0.887842  3.881228e-01
           0.888840  3.880572e-01
           0.889837  3.879914e-01
           0.890834  3.879253e-01
           0.891832  3.878589e-01
           0.892829  3.877923e-01
           0.893826  3.877255e-01
           0.894823  3.876584e-01
           0.895821  3.875911e-01
           0.896818  3.875236e-01
           0.897815  3.874559e-01
           0.898813  3.873880e-01
           0.899810  3.873198e-01
           0.900807  3.872515e-01
           0.901805  3.871829e-01
           0.902802  3.871141e-01
           0.903799  3.870466e-01
           0.904797  3.869803e-01
           0.905794  3.869138e-01
           0.906791  3.868471e-01
           0.907788  3.867802e-01
           0.908786  3.867131e-01
           0.909783  3.866459e-01
           0.910780  3.865786e-01
           0.911778  3.865110e-01
           0.912775  3.864434e-01
           0.913772  3.863757e-01
           0.914770  3.863078e-01
           0.915767  3.862398e-01
           0.916764  3.861717e-01
           0.917761  3.861034e-01
           0.918759  3.860349e-01
           0.919756  3.859663e-01
           0.920753  3.858975e-01
           0.921751  3.858294e-01
           0.922748  3.857632e-01
           0.923745  3.856968e-01
           0.924743  3.856303e-01
           0.925740  3.855635e-01
           0.926737  3.854967e-01
           0.927734  3.854296e-01
           0.928732  3.853625e-01
           0.929729  3.852952e-01
           0.930726  3.852278e-01
           0.931724  3.851618e-01
           0.932721  3.850956e-01
           0.933718  3.850292e-01
           0.934716  3.849628e-01
           0.935713  3.848962e-01
           0.936710  3.848295e-01
           0.937708  3.847627e-01
           0.938705  3.846959e-01
           0.939702  3.846289e-01
           0.940699  3.845619e-01
           0.941697  3.844949e-01
           0.942694  3.844278e-01
           0.943691  3.843606e-01
           0.944689  3.842934e-01
           0.945686  3.842261e-01
           0.946683  3.841588e-01
           0.947681  3.840914e-01
           0.948678  3.840240e-01
           0.949675  3.839575e-01
           0.950672  3.838929e-01
           0.951670  3.838284e-01
           0.952667  3.837638e-01
           0.953664  3.836992e-01
           0.954662  3.836346e-01
           0.955659  3.835700e-01
           0.956656  3.835054e-01
           0.957654  3.834409e-01
           0.958651  3.833763e-01
           0.959648  3.833108e-01
           0.960645  3.832451e-01
           0.961643  3.831793e-01
           0.962640  3.831137e-01
           0.963637  3.830481e-01
           0.964635  3.829826e-01
           0.965632  3.829172e-01
           0.966629  3.828518e-01
           0.967627  3.827866e-01
           0.968624  3.827217e-01
           0.969621  3.826582e-01
           0.970619  3.825948e-01
           0.971616  3.825316e-01
           0.972613  3.824685e-01
           0.973610  3.824055e-01
           0.974608  3.823427e-01
           0.975605  3.822801e-01
           0.976602  3.822176e-01
           0.977600  3.821553e-01
           0.978597  3.820938e-01
           0.979594  3.820330e-01
           0.980592  3.819725e-01
           0.981589  3.819122e-01
           0.982586  3.818522e-01
           0.983583  3.817927e-01
           0.984581  3.817336e-01
           0.985578  3.816752e-01
           0.986575  3.816174e-01
           0.987573  3.815604e-01
           0.988570  3.815040e-01
           0.989567  3.814482e-01
           0.990565  3.813929e-01
           0.991562  3.813380e-01
           0.992559  3.812833e-01
           0.993556  3.812287e-01
           0.994554  3.811741e-01
           0.995551  3.811193e-01
           0.996548  3.810642e-01
           0.997546  3.810086e-01
           0.998543  3.810012e-01
           0.999540  3.810077e-01
           1.000538  3.810131e-01
           1.001535  3.810166e-01
           1.002532  3.810177e-01
           1.003530  3.810155e-01
           1.004527  3.810096e-01
           1.005524  3.809993e-01
           1.006521  3.809838e-01
           1.007519  3.809626e-01
           1.008516  3.809492e-01
           1.009513  3.809339e-01
           1.010511  3.809130e-01
           1.011508  3.808871e-01
           1.012505  3.808572e-01
           1.013503  3.808240e-01
           1.014500  3.807882e-01
           1.015497  3.807506e-01
           1.016494  3.807119e-01
           1.017492  3.806730e-01
           1.018489  3.806339e-01
           1.019486  3.805953e-01
           1.020484  3.805571e-01
           1.021481  3.805192e-01
           1.022478  3.804815e-01
           1.023476  3.804439e-01
           1.024473  3.804060e-01
           1.025470  3.803679e-01
           1.026467  3.803292e-01
           1.027465  3.802898e-01
           1.028462  3.802502e-01
           1.029459  3.802105e-01
           1.030457  3.801700e-01
           1.031454  3.801288e-01
           1.032451  3.800869e-01
           1.033449  3.800442e-01
           1.034446  3.800008e-01
           1.035443  3.799566e-01
           1.036440  3.799116e-01
           1.037438  3.798659e-01
           1.038435  3.798192e-01
           1.039432  3.797697e-01
           1.040430  3.797194e-01
           1.041427  3.796686e-01
           1.042424  3.796175e-01
           1.043422  3.795665e-01
           1.044419  3.795157e-01
           1.045416  3.794655e-01
